Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","SK6812MINI","MX_SK6812MINI-E",113.400000,-115.929999,0.000000,bottom
"C1","1uF","C_0402_1005Metric",116.300000,-91.000000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",112.400000,-87.920000,90.000000,top
"C3","0.1uF","C_0402_1005Metric",116.680000,-92.660000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",115.300000,-90.980000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",117.760000,-97.180000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",106.740000,-92.700000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",106.130000,-97.710000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",113.800000,-102.480000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",113.500000,-86.880000,90.000000,top
"C10","1uF","C_0402_1005Metric",115.000000,-102.500000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",111.200000,-87.900000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",114.300000,-90.810000,90.000000,top
"C13","10uF","C_0603_1608Metric",108.115000,-75.340000,180.000000,top
"C14","10uF","C_0603_1608Metric",109.000000,-80.900000,180.000000,top
"C15","33pF","C_0402_1005Metric",108.400000,-104.620000,-90.000000,top
"C16","33pF","C_0402_1005Metric",113.670000,-105.290000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",109.520000,-87.300000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.580000,-69.200000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",102.710000,-68.070000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",120.490000,-68.070000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",109.060000,-116.090000,90.000000,top
"R1","5.1k","R_0402_1005Metric",113.060000,-75.570000,-90.000000,top
"R2","5.1k","R_0402_1005Metric",110.190000,-75.560000,-90.000000,top
"R3","27","R_0402_1005Metric",112.260000,-90.590000,-90.000000,top
"R4","27","R_0402_1005Metric",113.350000,-90.585000,-90.000000,top
"R5","1K","R_0402_1005Metric",111.960000,-102.390000,0.000000,top
"R6","1K","R_0402_1005Metric",108.230000,-107.280000,180.000000,top
"R7","10K","R_0402_1005Metric",107.480000,-87.310000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",107.600000,-110.700000,90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",111.600000,-96.200000,0.000000,top
"U3","W25Q16JVZPIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",108.367102,-89.250000,0.000000,top
"U4","MCP1700x-330xxTT","SOT-23",109.020000,-78.097500,90.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",111.045000,-104.940000,180.000000,top
